step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
0,train,0.864954734557604,0.05282406806945801,0.8121306664881459,0.0,0.0,0.0,0.0,0.0,0.0
0,val,0.835195189525968,0.049128843943277996,0.7860663455826901,0.0,0.0,0.0,0.0,0.0,0.0
1,train,0.8457587984057572,0.052825024922688806,0.7929337734830684,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.8163349351253543,0.049131650924682614,0.7672032842006716,0.0,0.0,0.0,0.0,0.0,0.0
2,train,0.8268340836519077,0.05282756805419922,0.7740065155977085,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.7977501914021349,0.049134769439697266,0.7486154219624376,0.0,0.0,0.0,0.0,0.0,0.0
3,train,0.8081956922381736,0.05284211794535319,0.7553535742928204,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.7794498653744469,0.0491426944732666,0.7303071709011804,0.0,0.0,0.0,0.0,0.0,0.0
4,train,0.789823660799366,0.052844514846801756,0.7369791459525642,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.7614211257066267,0.04913867314656575,0.712282452560061,0.0,0.0,0.0,0.0,0.0,0.0
5,train,0.7717431820905731,0.05285581270853679,0.7188873693820363,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.7436921234997914,0.0491470209757487,0.6945451025240427,0.0,0.0,0.0,0.0,0.0,0.0
6,train,0.7539435899707834,0.05286171277364095,0.7010818771971424,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.7262566670777719,0.04915822029113769,0.6770984467866342,0.0,0.0,0.0,0.0,0.0,0.0
7,train,0.7364392652109072,0.05287309646606445,0.6835661687448428,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.7091035732220227,0.04915791829427083,0.6599456549277518,0.0,0.0,0.0,0.0,0.0,0.0
8,train,0.7192217913678993,0.052878011067708335,0.666343780300191,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.6922622009515546,0.04917229970296224,0.6430899012485923,0.0,0.0,0.0,0.0,0.0,0.0
9,train,0.7023032402282275,0.052885548273722334,0.6494176919545052,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.6757140712559441,0.04918026606241862,0.6265338051935254,0.0,0.0,0.0,0.0,0.0,0.0
10,train,0.6856870676888238,0.052896556854248045,0.6327905108345757,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.6594634578864984,0.04918385187784831,0.61027960600865,0.0,0.0,0.0,0.0,0.0,0.0
11,train,0.6693677226720945,0.052903045018514,0.6164646776535806,0.0,0.0,0.0,0.0,0.0,0.0
11,val,0.6435224424443515,0.04919308344523112,0.5943293589991204,0.0,0.0,0.0,0.0,0.0,0.0
12,train,0.6533595615963469,0.05291725794474284,0.600442303651604,0.0,0.0,0.0,0.0,0.0,0.0
12,val,0.6278810642494537,0.04919628143310547,0.5786847828163482,0.0,0.0,0.0,0.0,0.0,0.0
13,train,0.6376569471895034,0.05293195088704427,0.5847249963024591,0.0,0.0,0.0,0.0,0.0,0.0
13,val,0.612559704570554,0.04921260833740235,0.5633470962331516,0.0,0.0,0.0,0.0,0.0,0.0
14,train,0.6222509792087988,0.05293674786885579,0.569314231339943,0.0,0.0,0.0,0.0,0.0,0.0
14,val,0.5975480898695359,0.0492307186126709,0.548317371256865,0.0,0.0,0.0,0.0,0.0,0.0
15,train,0.6071647856363932,0.05295351982116699,0.5542112658152262,0.0,0.0,0.0,0.0,0.0,0.0
15,val,0.5828249204125455,0.04922846794128418,0.5335964524712613,0.0,0.0,0.0,0.0,0.0,0.0
16,train,0.5923815650429446,0.0529649289449056,0.539416636098039,0.0,0.0,0.0,0.0,0.0,0.0
16,val,0.5684195294536807,0.049235045115152996,0.5191844843385277,0.0,0.0,0.0,0.0,0.0,0.0
17,train,0.5779102460213927,0.052979523340861,0.5249307226805318,0.0,0.0,0.0,0.0,0.0,0.0
17,val,0.5543337505988117,0.04925230344136556,0.5050814471574462,0.0,0.0,0.0,0.0,0.0,0.0
18,train,0.5637455270983481,0.05299174308776856,0.5107537840105796,0.0,0.0,0.0,0.0,0.0,0.0
18,val,0.540553185232594,0.049265995025634765,0.49128719020695927,0.0,0.0,0.0,0.0,0.0,0.0
19,train,0.5498956070934787,0.05301015853881836,0.4968854485546604,0.0,0.0,0.0,0.0,0.0,0.0
19,val,0.5270714023145995,0.04927044868469238,0.4778009536299071,0.0,0.0,0.0,0.0,0.0,0.0
20,train,0.5363502666664093,0.053025131225585935,0.48332513544082334,0.0,0.0,0.0,0.0,0.0,0.0
20,val,0.5139046398574986,0.04928287188212077,0.4646217679753778,0.0,0.0,0.0,0.0,0.0,0.0
21,train,0.5231099591508171,0.05303819020589193,0.47007176894492525,0.0,0.0,0.0,0.0,0.0,0.0
21,val,0.5010524075573612,0.04930422147115072,0.4517481860862105,0.0,0.0,0.0,0.0,0.0,0.0
22,train,0.5101852988542751,0.053061116536458335,0.4571241823178168,0.0,0.0,0.0,0.0,0.0,0.0
22,val,0.48848841630640893,0.04930974960327148,0.43917866670313743,0.0,0.0,0.0,0.0,0.0,0.0
23,train,0.4975625742872375,0.05308186213175456,0.4444807121554829,0.0,0.0,0.0,0.0,0.0,0.0
23,val,0.4762475651394927,0.04933637301127116,0.42691119212822154,0.0,0.0,0.0,0.0,0.0,0.0
24,train,0.485242626862588,0.0531028938293457,0.4321397330332423,0.0,0.0,0.0,0.0,0.0,0.0
24,val,0.4643057289857206,0.049361953735351564,0.414943775250369,0.0,0.0,0.0,0.0,0.0,0.0
25,train,0.47322166199937127,0.05312244415283203,0.42009921784653925,0.0,0.0,0.0,0.0,0.0,0.0
25,val,0.4526459489587638,0.04937190373738607,0.4032740452213777,0.0,0.0,0.0,0.0,0.0,0.0
26,train,0.4615137599450913,0.05315708478291829,0.408356675162173,0.0,0.0,0.0,0.0,0.0,0.0
26,val,0.4412976062580566,0.04939841588338216,0.3918991903746744,0.0,0.0,0.0,0.0,0.0,0.0
27,train,0.45009554927864276,0.05318584124247233,0.3969097080361704,0.0,0.0,0.0,0.0,0.0,0.0
27,val,0.43023224722372905,0.0494157600402832,0.38081648718344585,0.0,0.0,0.0,0.0,0.0,0.0
28,train,0.43896393844475107,0.05320880254109701,0.38575513590365407,0.0,0.0,0.0,0.0,0.0,0.0
28,val,0.41945716262145605,0.049434690475463866,0.37002247214599215,0.0,0.0,0.0,0.0,0.0,0.0
29,train,0.42813177369715205,0.05324196179707845,0.3748898119000736,0.0,0.0,0.0,0.0,0.0,0.0
29,val,0.4089711199061995,0.049457403818766274,0.3595137160874332,0.0,0.0,0.0,0.0,0.0,0.0
30,train,0.41757960025117546,0.05326880772908529,0.3643107925220902,0.0,0.0,0.0,0.0,0.0,0.0
30,val,0.39876695212193003,0.04947996775309245,0.3492869843688376,0.0,0.0,0.0,0.0,0.0,0.0
31,train,0.4073290864231845,0.05331493059794108,0.3540141558252434,0.0,0.0,0.0,0.0,0.0,0.0
31,val,0.3888392836169655,0.049501161575317386,0.33933812204164815,0.0,0.0,0.0,0.0,0.0,0.0
32,train,0.39733944704890894,0.05334329605102539,0.34399615099788355,0.0,0.0,0.0,0.0,0.0,0.0
32,val,0.3791927317571065,0.049529590606689454,0.32966314115041706,0.0,0.0,0.0,0.0,0.0,0.0
33,train,0.3876257237428045,0.05337308883666992,0.3342526349061346,0.0,0.0,0.0,0.0,0.0,0.0
33,val,0.3698035563459545,0.04954586664835612,0.3202576896975984,0.0,0.0,0.0,0.0,0.0,0.0
34,train,0.37818869922151205,0.05340925852457682,0.3247794406969352,0.0,0.0,0.0,0.0,0.0,0.0
34,val,0.36069472940154707,0.04957732836405436,0.3111174010374927,0.0,0.0,0.0,0.0,0.0,0.0
35,train,0.36902172437681635,0.05344963073730469,0.31557209363951166,0.0,0.0,0.0,0.0,0.0,0.0
35,val,0.3518458276182199,0.04960820198059082,0.3022376256376291,0.0,0.0,0.0,0.0,0.0,0.0
36,train,0.36012033342584204,0.05349415461222331,0.30662617881361875,0.0,0.0,0.0,0.0,0.0,0.0
36,val,0.343248394779945,0.04963461558024088,0.2936137791997041,0.0,0.0,0.0,0.0,0.0,0.0
37,train,0.35146806857476115,0.05353102366129557,0.29793704491346557,0.0,0.0,0.0,0.0,0.0,0.0
37,val,0.3349034902118767,0.04966242790222168,0.285241062309655,0.0,0.0,0.0,0.0,0.0,0.0
38,train,0.34306915270046323,0.05356863021850586,0.28950052248195735,0.0,0.0,0.0,0.0,0.0,0.0
38,val,0.3268041828852414,0.04968904177347819,0.2771151411117632,0.0,0.0,0.0,0.0,0.0,0.0
39,train,0.3349278619357024,0.053616485595703124,0.28131137633999925,0.0,0.0,0.0,0.0,0.0,0.0
39,val,0.3189473725831062,0.04971668879191081,0.26923068379119536,0.0,0.0,0.0,0.0,0.0,0.0
40,train,0.32702264685004534,0.05365763346354167,0.27336501338650365,0.0,0.0,0.0,0.0,0.0,0.0
40,val,0.3113244258613579,0.049741449356079104,0.2615829765052788,0.0,0.0,0.0,0.0,0.0,0.0
41,train,0.3193585581929078,0.053702163696289065,0.26565639449661876,0.0,0.0,0.0,0.0,0.0,0.0
41,val,0.303943010798008,0.04977611541748047,0.25416689538052756,0.0,0.0,0.0,0.0,0.0,0.0
42,train,0.3119268394346839,0.05374702453613281,0.2581798148985511,0.0,0.0,0.0,0.0,0.0,0.0
42,val,0.2967720787036727,0.04979537963867187,0.24697669906500083,0.0,0.0,0.0,0.0,0.0,0.0
43,train,0.30472194412745907,0.05379140853881836,0.2509305355886407,0.0,0.0,0.0,0.0,0.0,0.0
43,val,0.28983439135662287,0.0498268191019694,0.24000757225465347,0.0,0.0,0.0,0.0,0.0,0.0
44,train,0.2977455686505142,0.05384229024251302,0.2439032784080012,0.0,0.0,0.0,0.0,0.0,0.0
44,val,0.2831021662598491,0.04984796524047851,0.23325420101937058,0.0,0.0,0.0,0.0,0.0,0.0
