step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
0,train,0.7523440551757813,0.7523440551757813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,val,0.751703950049649,0.7516539510091146,4.999904053437872e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,train,0.751689549810181,0.75163330078125,5.624902893098081e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.7486141529372847,0.7484523010253906,0.00016185191189408183,0.0,0.0,0.0,0.0,0.0,0.0
2,train,0.7477711159336626,0.7476107279459635,0.00016038798769909507,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.739910944540501,0.7395689900716146,0.00034195446888641244,0.0,0.0,0.0,0.0,0.0,0.0
3,train,0.740338026519075,0.7399938456217448,0.00034418089733021423,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.7296762152440944,0.7290795389811198,0.0005966762629747038,0.0,0.0,0.0,0.0,0.0,0.0
4,train,0.7327601604482622,0.7321462504069011,0.0006139100413610768,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.7207093024404234,0.7197620646158854,0.0009472378245379626,0.0,0.0,0.0,0.0,0.0,0.0
5,train,0.7250582003665592,0.7240841674804688,0.000974032886090415,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.712230523145298,0.7108326212565104,0.0013979018887876416,0.0,0.0,0.0,0.0,0.0,0.0
6,train,0.7171344749813294,0.7157032267252604,0.0014312482560689716,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.7038407679882849,0.7018885803222656,0.0019521876660191818,0.0,0.0,0.0,0.0,0.0,0.0
7,train,0.7089729180025286,0.7069825744628906,0.0019903435396380086,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.6953693517081094,0.6927562459309896,0.0026131057771198673,0.0,0.0,0.0,0.0,0.0,0.0
8,train,0.700556206583925,0.6979013570149739,0.0026548495689510698,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.6867022756476131,0.6833190409342448,0.0033832347133683446,0.0,0.0,0.0,0.0,0.0,0.0
9,train,0.6918486319435543,0.6884210205078125,0.0034276114357417948,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.6777350450558308,0.6734700520833333,0.004264992972497534,0.0,0.0,0.0,0.0,0.0,0.0
10,train,0.6827898006883844,0.6784785970052083,0.0043112036831760205,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.6683692544620402,0.6631083679199219,0.005260886542118333,0.0,0.0,0.0,0.0,0.0,0.0
11,train,0.6733005842683893,0.6679923502604167,0.00530823400797262,0.0,0.0,0.0,0.0,0.0,0.0
11,val,0.6584901667819362,0.6521164957682292,0.006373671013707006,0.0,0.0,0.0,0.0,0.0,0.0
12,train,0.6632831551567389,0.6568616231282552,0.006421532028483656,0.0,0.0,0.0,0.0,0.0,0.0
12,val,0.6479891374688791,0.6403826904296875,0.007606447039191546,0.0,0.0,0.0,0.0,0.0,0.0
13,train,0.6526382877539956,0.6449840291341146,0.007654258619880964,0.0,0.0,0.0,0.0,0.0,0.0
13,val,0.6367390277033154,0.6277762349446615,0.008962792758653868,0.0,0.0,0.0,0.0,0.0,0.0
14,train,0.6412430168402434,0.6322329711914062,0.009010045648837223,0.0,0.0,0.0,0.0,0.0,0.0
14,val,0.6246165278449664,0.6141698201497395,0.010446707695226853,0.0,0.0,0.0,0.0,0.0,0.0
15,train,0.6289743388982775,0.6184813944498698,0.010492944448407631,0.0,0.0,0.0,0.0,0.0,0.0
15,val,0.6114915863688392,0.599428965250651,0.012062621118188115,0.0,0.0,0.0,0.0,0.0,0.0
16,train,0.6157047466444785,0.6035973103841146,0.01210743626036387,0.0,0.0,0.0,0.0,0.0,0.0
16,val,0.5972337565646295,0.583418477376302,0.0138152791883275,0.0,0.0,0.0,0.0,0.0,0.0
17,train,0.601310204340808,0.5874518839518229,0.013858320388985079,0.0,0.0,0.0,0.0,0.0,0.0
17,val,0.5817338131773022,0.566024169921875,0.015709643255427178,0.0,0.0,0.0,0.0,0.0,0.0
18,train,0.5856687239227246,0.5699181111653646,0.01575061275736005,0.0,0.0,0.0,0.0,0.0,0.0
18,val,0.5648850820570489,0.5471342468261718,0.017750835230877046,0.0,0.0,0.0,0.0,0.0,0.0
19,train,0.5686744495716672,0.5508849589029948,0.01778949066867241,0.0,0.0,0.0,0.0,0.0,0.0
19,val,0.5465985733271073,0.5266545613606771,0.01994401196643016,0.0,0.0,0.0,0.0,0.0,0.0
20,train,0.550250755713623,0.5302705891927083,0.019980166520914684,0.0,0.0,0.0,0.0,0.0,0.0
20,val,0.5268385191877497,0.5045442708333333,0.022294248354416454,0.0,0.0,0.0,0.0,0.0,0.0
21,train,0.5303410752764914,0.5080133056640626,0.02232776961242893,0.0,0.0,0.0,0.0,0.0,0.0
21,val,0.5056020617896492,0.4807957458496094,0.024806315940039805,0.0,0.0,0.0,0.0,0.0,0.0
22,train,0.5089513509542299,0.4841142272949219,0.02483712365930806,0.0,0.0,0.0,0.0,0.0,0.0
22,val,0.4829528573017344,0.4554682922363281,0.027484565065406263,0.0,0.0,0.0,0.0,0.0,0.0
23,train,0.48613892946689097,0.4586263020833333,0.027512627383557614,0.0,0.0,0.0,0.0,0.0,0.0
23,val,0.4590256442241519,0.428692881266276,0.03033276295787585,0.0,0.0,0.0,0.0,0.0,0.0
24,train,0.46203610034484127,0.43167800903320314,0.03035809131163812,0.0,0.0,0.0,0.0,0.0,0.0
24,val,0.43402662547157517,0.4006728363037109,0.03335378916786424,0.0,0.0,0.0,0.0,0.0,0.0
25,train,0.43685200269804664,0.4034755706787109,0.03337643201933572,0.0,0.0,0.0,0.0,0.0,0.0
25,val,0.4082451238886284,0.37169606526692706,0.03654905862170133,0.0,0.0,0.0,0.0,0.0,0.0
26,train,0.4108833136797549,0.37431421915690105,0.03656909452285386,0.0,0.0,0.0,0.0,0.0,0.0
26,val,0.3820762117274922,0.34215787251790364,0.039918339209588566,0.0,0.0,0.0,0.0,0.0,0.0
27,train,0.3845125396367997,0.34457667032877604,0.039935869308023654,0.0,0.0,0.0,0.0,0.0,0.0
27,val,0.35595767702700215,0.3124986267089844,0.043459050318017764,0.0,0.0,0.0,0.0,0.0,0.0
28,train,0.3581827482834876,0.3147085571289063,0.043474191154581315,0.0,0.0,0.0,0.0,0.0,0.0
28,val,0.3303751403418233,0.2832097371419271,0.047165403199896205,0.0,0.0,0.0,0.0,0.0,0.0
29,train,0.3323878089044501,0.2852095286051432,0.04717828029930689,0.0,0.0,0.0,0.0,0.0,0.0
29,val,0.3058399499934448,0.2548119354248047,0.051028014568640166,0.0,0.0,0.0,0.0,0.0,0.0
30,train,0.3076417439938594,0.25660298665364584,0.05103875734021356,0.0,0.0,0.0,0.0,0.0,0.0
30,val,0.2828214875310379,0.22778816223144532,0.05503332529959261,0.0,0.0,0.0,0.0,0.0,0.0
31,train,0.28441566503617466,0.22937360127766926,0.055042063758505386,0.0,0.0,0.0,0.0,0.0,0.0
31,val,0.2617515240692788,0.20258874257405599,0.05916278149522284,0.0,0.0,0.0,0.0,0.0,0.0
32,train,0.2631350355370023,0.20396539052327475,0.059169645013727554,0.0,0.0,0.0,0.0,0.0,0.0
32,val,0.24294023520731745,0.17954813639322917,0.06339209881408826,0.0,0.0,0.0,0.0,0.0,0.0
33,train,0.24413773859221705,0.18074052174886068,0.06339721684335638,0.0,0.0,0.0,0.0,0.0,0.0
33,val,0.2265496656928595,0.15885648091634114,0.06769318477651835,0.0,0.0,0.0,0.0,0.0,0.0
34,train,0.22757622092115584,0.15987953186035156,0.06769668906080428,0.0,0.0,0.0,0.0,0.0,0.0
34,val,0.21268877856604643,0.14065564473470052,0.07203313383134591,0.0,0.0,0.0,0.0,0.0,0.0
35,train,0.21356116758468835,0.14152600606282553,0.07203516152186282,0.0,0.0,0.0,0.0,0.0,0.0
35,val,0.20126353172258232,0.12488779703776041,0.07637573468482192,0.0,0.0,0.0,0.0,0.0,0.0
36,train,0.20199687931154275,0.12562044779459636,0.0763764315169464,0.0,0.0,0.0,0.0,0.0,0.0
36,val,0.19213759562398397,0.11145397186279297,0.08068362376119101,0.0,0.0,0.0,0.0,0.0,0.0
37,train,0.19274415098826048,0.11206100463867187,0.08068314634958862,0.0,0.0,0.0,0.0,0.0,0.0
37,val,0.18506010949267146,0.100140806833903,0.08491930265876846,0.0,0.0,0.0,0.0,0.0,0.0
38,train,0.18556167651075695,0.10064385732014974,0.08491781919060719,0.0,0.0,0.0,0.0,0.0,0.0
