step,split,total,mse,l2,entropy,mag,canon,noncanon,canon_usage,helix
0,train,0.5201306538389422,0.5117876629672535,0.008342990871688768,0.0,0.0,0.0,0.0,0.0,0.0
0,val,0.5514980905709204,0.5438249953525596,0.007673095218360464,0.0,0.0,0.0,0.0,0.0,0.0
1,train,0.5018910318119528,0.4950469284157919,0.006844103396160623,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.5044122443166851,0.4983152816673522,0.006096962649333036,0.0,0.0,0.0,0.0,0.0,0.0
2,train,0.5030177982127387,0.49762404373766,0.0053937544750787166,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.527068989782776,0.5222418349357745,0.004827154847001775,0.0,0.0,0.0,0.0,0.0,0.0
3,train,0.48920024183853605,0.48490072094764064,0.004299520890895404,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.5275745816633313,0.5236069220096017,0.00396765965372975,0.0,0.0,0.0,0.0,0.0,0.0
4,train,0.48923404276166615,0.48562675130739513,0.0036072914542711093,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.5337720931909156,0.5303527645351547,0.0034193286557607757,0.0,0.0,0.0,0.0,0.0,0.0
5,train,0.49402152019767714,0.4907798743885067,0.0032416458091704342,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.521677548804308,0.5185450329583003,0.003132515846007721,0.0,0.0,0.0,0.0,0.0,0.0
6,train,0.4775184347051617,0.47441951976691416,0.0030989149382477277,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.47762265007342114,0.47446819145704194,0.003154458616379186,0.0,0.0,0.0,0.0,0.0,0.0
7,train,0.4581395503571746,0.4550505162002951,0.0030890341568794687,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.4642462540496854,0.4611904499175865,0.0030558041320990492,0.0,0.0,0.0,0.0,0.0,0.0
8,train,0.4358385267653517,0.4328735780763391,0.002964948689012439,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.4461861227758936,0.44332120841475375,0.0028649143611399037,0.0,0.0,0.0,0.0,0.0,0.0
9,train,0.426556465123346,0.42369706388573375,0.0028594012376124763,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.43989233990935456,0.43697116383908674,0.0029211760702681057,0.0,0.0,0.0,0.0,0.0,0.0
10,train,0.43066421412118544,0.42765850106509423,0.0030057130560912208,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.4122096929316206,0.409081277886042,0.0031284150455785894,0.0,0.0,0.0,0.0,0.0,0.0
11,train,0.3810019946950661,0.37773969099946947,0.0032623036955966183,0.0,0.0,0.0,0.0,0.0,0.0
11,val,0.40612255044044476,0.402660643952062,0.003461906488382746,0.0,0.0,0.0,0.0,0.0,0.0
12,train,0.3797845682242199,0.3762204553435936,0.0035641128806263482,0.0,0.0,0.0,0.0,0.0,0.0
12,val,0.3724652608494417,0.36875817284014517,0.0037070880092965604,0.0,0.0,0.0,0.0,0.0,0.0
